Id_produit;Nom produit;Reference;Categorie principale ;Categorie;EAN;Supplier_reference;Fournisseur;Marque;Prix ;Quantite;VALEUR STOCK 
13273;BLACKSTAR - FLY PACK BASS;FLY PACK BASS;Amplificateurs Basses Electriques;Baffles Basses;845644000000;44160;Adagio;Blackstar;81,45;1;81,45
7378;BLACKSTAR - FLY STEREO PACK;FLY STEREO PACK;Amplificateurs Guitares Electriques;Combos Guitares Electriques;845644000000;43876;Adagio;Blackstar;80,89;1;80,89
12872;ERNIE BALL - 2047 - EARTHWOOD EXTRA LIGHT 10-50 - Cordes de Guitare Acoustique  - Jeu de 6;CEB 2047;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2047;Algam - Gaffarel;Ernie Ball;9,80;8;78,40
26593;PROVIDENCE - V206 SLIM PATCH 15CM L/L;V206 SLIM PATCH 15CM L/L;Accessoires Guitares & Basses;Câbles de Patch;4539590000000;PVV206-15;Filling Distribution;Providence;30,90;3;92,70
29896;ERNIE BALL - 2223 SUPER SLINKY;2223 SUPER SLINKY;Cordes Guitares & Basses;Cordes Guitares Electriques;;CEB 2223;Algam - Gaffarel;Ernie Ball;4,85;16;77,60
29899;ERNIE BALL - 2226 BURLY SLINKY;2226 BURLY SLINKY;Cordes Guitares & Basses;Cordes Guitares Electriques;749699000000;CEB 2226;Algam - Gaffarel;Ernie Ball;4,85;16;77,60
35350;ELIXIR - 11052 NANOWEB L 12-53;11052;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;733132000000;CEL 11052;Algam - Camac;Elixir;12,75;6;76,50
21038;ERNIE BALL - 2409 - ERNESTO PALLA NYLON BALL END - Cordes de Guitare Classique - Jeu de 6;CEB 2409;Cordes Guitares & Basses;Cordes Guitares Classiques;749699000000;CEB 2409;Algam - Gaffarel;Ernie Ball;6,95;11;76,45
34188;LEVY'S - MP2-009 - Sangle guitare et basse ;MP2-009;Accessoires Guitares & Basses;Sangles Guitares & Basses;734991000000;LEV-MP2-009;HTD - High Tech Distribution;Levy's;18,74;4;74,96
12878;ERNIE BALL - 2003 - EARTHWOOD MEDIUM LIGHT 12-54 - Cordes de Guitare Acoustique - Jeu de 6;CEB 2003;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2003;Algam - Gaffarel;Ernie Ball;5,25;14;73,50
12906;ERNIE BALL - 2150 - EARTHWOOD PHOSPHOR EXTRA LIGHT 10-50 - Cordes de Guitare Acoustique - Jeu;CEB 2150;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2150;Algam - Gaffarel;Ernie Ball;6,00;12;72,00
12907;ERNIE BALL - 2148 - EARTHWOOD PHOSPHOR BRONZE LIGHT 11-52 - Cordes de Guitare Acoustique - Jeu;CEB 2148;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2148;Algam - Gaffarel;Ernie Ball;6,00;12;72,00
42266;MARK STRINGS - LONGEVO 045-130 NICKEL PLATED STEEL - Jeu 5 cordes basse;LONGEVO 045-130 NICKEL PLATED S;Cordes Guitares & Basses;Cordes Basses Electriques;8033830000000;4S70425868002;Mogar;Mark Strings;34,97;2;69,94
13044;ERNIE BALL - 2731 - POWER SLINKY COBALT 55-110 - Cordes de Basse Électrique - Jeu de 4;CEB 2731;Cordes Guitares & Basses;Cordes Basses Electriques;749699000000;CEB 2731;Algam - Gaffarel;Ernie Ball;23,10;3;69,30
13093;ERNIE BALL - 2832 - REGULAR SLINKY NICKEL WOUND 50-105 - Cordes de Basse Électrique - Jeu de 4;CEB 2832;Cordes Guitares & Basses;Cordes Basses Electriques;749699000000;CEB 2832;Algam - Gaffarel;Ernie Ball;16,75;4;67,00
35347;ELIXIR - 11027 NANOWEB CL 11-52 - Jeu de 6 cordes Custom light;11027;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;733132000000;CEL 11027;Algam - Camac;Elixir;12,75;5;63,75
28366;LANEY - MINI-ST-IRON;MINI-ST-IRON;Amplificateurs Guitares Electriques;Combos Guitares Electriques;5060110000000;MINI-ST-IRON;Saico - Musico;Laney;63,33;1;63,33
22071;ORANGE - CRUSH MINI;CRUSH MINI;Amplificateurs Guitares Electriques;Combos Guitares Electriques;5060300000000;ORA-CRUSHMINI;HTD - High Tech Distribution;Orange;62,50;1;62,50
22328;ORANGE - CRUSH MINI BLACK;CRUSH MINI BLACK;Amplificateurs Guitares Electriques;Combos Guitares Electriques;5060300000000;ORA-CRUSHMINI-BK;HTD - High Tech Distribution;Orange;62,50;1;62,50
44553;ELIXIR - 16545 - Cordes acoustiques;16545;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;733132000000;CEL 16545;Algam - Camac;Elixir;30,90;2;61,80
42211;MARK STRINGS - BRIGHT 011-052 BRONZEE 80/20 - Jeu 6 cordes guitare acoustique;BRIGHT 011-052 BRONZEE 80/20;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;8059310000000;;Mogar;Mark Strings;6,73;9;60,57
27795;XVIVE - U2T BLACK;U2T BLACK;Accessoires Guitares & Basses;Systèmes sans fil pour Guitares et Basses;6946040000000;703915;Adagio;;60,17;1;60,17
42214;MARK STRINGS - BRIGHT 013-056 BRONZEE 80/20 - Jeu 6 cordes guitare acoustique;BRIGHT 013-056 BRONZEE 80/20;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;8059310000000;;Mogar;Mark Strings;7,50;8;60,00
12992;ERNIE BALL - 2076 - PARADIGM PHOSPHOR MEDIUM LIGHT 12-54 - Cordes de Guitare Acoustique - Jeu;CEB 2076;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2076;Algam - Gaffarel;Ernie Ball;11,90;5;59,50
34393;LEVY'S - MS317EMP-IND - Sangles guitares et basses;MS317EMP-IND;Accessoires Guitares & Basses;Sangles Guitares & Basses;734991000000;LEV-MS317EMP-IND;HTD - High Tech Distribution;Levy's;58,43;1;58,43
37939;CORT - E310C - Accordeur;E310C;Accessoires Guitares & Basses;Accordeurs;8809380000000;E310C;Saico - Ti;Cort;7,16;8;57,28
42258;MARK STRINGS - LONGEVO 045-105 STAINLESS STEEL - Jeu 4 cordes basse;LONGEVO 045-105 STAINLESS STEEL;Cordes Guitares & Basses;Cordes Basses Electriques;8033830000000;;Mogar;Mark Strings;27,90;2;55,80
33979;LEVY'S - M26-BLK - Sangle guitare et basse cuir;M26-BLK;Accessoires Guitares & Basses;Sangles Guitares & Basses;734990000000;LEV-M26-BLK;HTD - High Tech Distribution;Levy's;13,88;4;55,52
28909;ERNIE BALL - 9613 FRETWRAPS M;9613 FRETWRAPS M;Accessoires Guitares & Basses;Bottlenecks, Tone Bars, Fretwraps;749699000000;AEB 9613;Algam - Gaffarel;Ernie Ball;11,00;5;55,00
44942;AQUILA - 166C - Jeu de 6 cordes guitare flamenco;166C;Cordes Guitares & Basses;Cordes Guitares Classiques;8052410000000;CAQ 166C;Algam - Camac;Aquila;4,95;11;54,45
34534;LEVY'S - PM28-2B - Sangle guitare et basse Cuir;PM28-2B;Accessoires Guitares & Basses;Sangles Guitares & Basses;734991000000;LEV-PM28-2B;HTD - High Tech Distribution;Levy's;52,78;1;52,78
12871;ERNIE BALL - 2006 - EARTHWOOD ROCK AND BLUES 10-50 - Cordes de Guitare Acoustique - Jeu de 6;CEB 2006;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2006;Algam - Gaffarel;Ernie Ball;5,25;10;52,50
27990;MOOER - GCA5 GTRS PTNR BK;GCA5 GTRS PTNR BK;Amplificateurs Guitares Electriques;Combos Guitares Electriques;6971890000000;GCA5-BK;Saico - Musico;MOOER;51,60;1;51,60
35363;ELIXIR - 12000 - Jeu de 6 cordes guitare électrique;12000;Cordes Guitares & Basses;Cordes Guitares Electriques;733132000000;CEL 12000;Algam - Camac;Elixir;10,05;5;50,25
55507;GRAVITY - FD SEAT 1 - Tabouret de musicien rond;FD SEAT 1;Accessoires Guitares & Basses;Accessoires Divers Guitares & Basses;4049520000000;GFDSEAT1;Adam Hall;Gravity;50,10;1;50,10
21037;ERNIE BALL - 2406 - ERNESTO PALLA BLACK SILVER;CEB 2406;Cordes Guitares & Basses;Cordes Guitares Classiques;749699000000;CEB 2406;Algam - Gaffarel;Ernie Ball;6,25;8;50,00
41205;LAVA MUSIC - IDEAL STRAP 2 WHITE - Sangle LAVA ME 3;IDEAL STRAP 2 WHITE - LAVA ME 3;Accessoires Guitares & Basses;Sangles Guitares & Basses;6973020000000;LA-0089;WOOD4MUSIC;LAVA MUSIC;49,38;1;49,38
34180;LEVY'S - MHG2-DBR - Sangle guitare et basse chanvre doublée cuir;MHG2-DBR;Accessoires Guitares & Basses;Sangles Guitares & Basses;734991000000;LEV-MHG2-DBR;HTD - High Tech Distribution;Levy's;48,60;1;48,60
12876;ERNIE BALL - 2002 - EARTHWOOD MEDIUM 13-56 - Cordes de Guitare Acoustique - Jeu de 6;CEB 2002;Cordes Guitares & Basses;Cordes Guitares Acoustiques / Folks;749699000000;CEB 2002;Algam - Gaffarel;Ernie Ball;5,25;9;47,25
34100;LEVY'S - MC8TWA-BLK - Sangles guitares et basses;MC8TWA-BLK;Accessoires Guitares & Basses;Sangles Guitares & Basses;734991000000;LEV-MC8TWA-BLK;HTD - High Tech Distribution;Levy's;47,11;1;47,11
26090;EMINENCE - BH410;BH410;Amplificateurs Guitares & Basses;Haut-parleurs;876358000000;SEM BH410;Algam - Audia;Eminence;15,44;3;46,32
26079;EMINENCE - BGH25-8;BGH25-8;Amplificateurs Guitares & Basses;Haut-parleurs;876358000000;SEM BGH25-8;Algam - Audia;Eminence;46,30;1;46,30
26538;PROVIDENCE - LE502C COIL 4M S/L;LE502C COIL 4M S/L;Accessoires Guitares & Basses;Câbles Instruments;4539590000000;PVLE502C-4L;Filling Distribution;Providence;29,90;2;59,80
15969;FLUID AUDIO - STRUM BUDDY HEAVY METAL;STRUMBUDDY METAL;Amplificateurs Guitares Electriques;Combos Guitares Electriques;858445000000;7310_STRUMBUDDY_ME;Sogetronic;Fluid Audio;45,00;1;45,00
34203;"LEVY'S - MPA3-002 - Sangle guitare et basse polyester imprimé ""artist series""";MPA3-002;Accessoires Guitares & Basses;Sangles Guitares & Basses;734990000000;LEV-MPA3-002;HTD - High Tech Distribution;Levy's;22,21;2;44,42
12807;ERNIE BALL - 4602 - Strap locks Doré - Paire;AEB 4602;Accessoires Guitares & Basses;Pièces détachées;749699000000;AEB 4602;Algam - Gaffarel;Ernie Ball;22,20;2;44,40
35546;ELIXIR - 19057 LIGHT /7C;19057;Cordes Guitares & Basses;Cordes Guitares Electriques;733132000000;CEL 19057;Algam - Camac;Elixir;14,75;3;44,25
35548;ELIXIR - 19074 LIGHT HEAVY /7C;19074;Cordes Guitares & Basses;Cordes Guitares Electriques;733132000000;CEL 19074;Algam - Camac;Elixir;14,75;3;44,25
28767;ERNIE BALL - 9612 FRETWRAPS S;9612 FRETWRAPS S;Accessoires Guitares & Basses;Bottlenecks, Tone Bars, Fretwraps;749699000000;AEB 9612;Algam - Gaffarel;Ernie Ball;11,00;4;44,00
